Character_Name,Character_dialogue,num_palabras,sentimiento
AK,"I got nothing, sir. No sign of Niobe or Ghost. Nothin’ but blue pills.",14,-0.0531
Mauser,Should we jack in and try to contact them?,9,0.0
Roland,It wouldn’t matter. My gut says they’re down.,8,0.0258
Mauser,Then we should start back.,5,0.0
Roland,"No. If that ship can still fly, then we need it.",11,-0.296
Mauser,I was afraid you were gonna say that.,8,0.0
Roland,"Search every pipe, every hole, every crack we know. Sweep as wide as possible, as fast as possible.",18,0.0
AK,"Captain, these lines are crawling with calamari.",7,0.0
Roland,Then the sooner we find them the better.,8,0.4404
Maggie,Thought you could use something to eat.,7,0.0
Trinity,Thank you.,2,0.3612
Maggie,Any change?,2,0.0
Trinity,No. How’s he?,3,-0.296
Maggie,"He’s going to be fine, at least until he wakes up.",11,0.2023
Trinity,What do you mean?,4,0.0
Maggie,The Captain has some questions for him. He better have some good answers. You see these cuts? I think they’re self-inflicted.,21,0.5574
Trinity,Why?,1,0.0
Maggie,"VDTs, maybe. I don’t know. But like I said, the answer had better be good.",15,0.899
Morpheus,Roland. I’d like to run another search through the Matrix.,10,0.3612
Roland,For what?,2,0.0
Morpheus,For Neo.,2,0.0
AK,"How can he be in the Matrix, sir? He’s not plugged in.",12,0.0
Morpheus,"Please, for me.",3,0.3182
Maggie,This is what keeps bothering me.,6,-0.3818
Trinity,What?,1,0.0
Maggie,"His neural patterns don’t read like someone who’s in a coma. The strange thing is, I see these patterns all the time.",22,0.1779
Trinity,Where?,1,0.0
Maggie,On someone jacked in.,4,0.0
AK,The big bubkis. Nada. He’s not in there.,8,0.0
[Colt],"Sir, we’ve got the projections!",5,0.0
Roland,How long?,2,0.0
[Colt],Based on the point of entry and the [past] speed it looks like the machines will be inside of Zion in just under 20 hours.,25,0.3612
AK,Jesus H. Christ.,3,0.0
Roland,"All right, let’s move with a purpose. AK, get upstairs, I want you on holographics. [Colt,] Mauser, I want forward and aft guns manned at all times. And make sure we are running on as few pads as possible.",39,0.4404
[Colt],"Yes, sir.",2,0.4019
Link,Hey. Hey! We got a call. Operator. It’s Seraph.,9,0.0
Seraph,I bring word from the Oracle. You must come at once.,11,0.0
Sati,Good morning.,2,0.4404
Neo,Who are you?,3,0.0
Sati,"My name is Sati. Your name is Neo. My papa says you’re not supposed to be here. He says you must be lost. Are you lost, Neo?",27,-0.5574
Neo,Where am I?,3,0.0
Sati,This is the train station.,5,0.0
Neo,This isn’t the Matrix?,4,0.0
Sati,That’s where the Train goes. That’s where we’re going. But you cannot go with us.,15,0.0
Neo,Why not?,2,0.0
Sati,He won’t let you.,4,0.0
Neo,Who won’t let me?,4,0.0
Sati,"The Trainman. *whispers* I don’t like him, but my Papa says we have to do what the Trainman says or he will leave us here for ever and ever.",29,0.1154
Oracle,"Morpheus, Trinity. Thank you for coming. One thing I’ve learned in all my years is that nothing ever works out just the way you want it to.",27,0.4215
Trinity,Who are you?,3,0.0
Oracle,I’m the Oracle. I wish there was an easier way to get through this but there ain’t. I’m sorry this had to happen. I’m sorry I couldn’t be sitting here like you remember me. But it wasn’t meant to be.,40,0.6249
Trinity,What happened?,2,0.0
Oracle,"I made a choice, and that choice cost me more than I wanted it to.",15,0.0
Morpheus,What choice?,2,0.0
Oracle,"To help you to guide Neo. Now, since the real test for any choice is having to make the same choice again, knowing full well what it might cost – I guess I feel pretty good about that choice, ’cause here I am, at it again.",46,0.872
Trinity,Do you know what happened to Neo?,7,0.0
Oracle,"Yes. He’s trapped in a place between this world and the machine world. The link is controlled by a program called the Trainman. He uses it to smuggle programs in and out of the Matrix. If he finds out where Neo is before you get to him, then I’m afraid our choices are going to become difficult.",57,-0.7003
Trinity,Why?,1,0.0
Oracle,Because of who the Trainman works for.,7,0.0
Morpheus,The Merovingian.,2,0.0
Oracle,"He has placed a bounty on your lives. You must be careful at all times. Seraph knows how to find the Trainman, he will go with you. For years, he has protected me. I hope he can do the same for you.",42,0.7506
Seraph,"Please, come.",2,0.3182
Morpheus,Oracle.,1,0.0
Oracle,"I know, Morpheus. I can see you’re filled with doubt, clouded by uncertainty.",13,-0.6249
Morpheus,"After everything that’s happened, how can you expect me to believe you?",12,0.0
Oracle,I don’t. I expect just what I’ve always expected. For you to make up your own damn mind. Believe me or don’t. All I can really tell you is your friend’s in trouble and he needs your help. He needs all our help.,43,0.0
Sati,Are you from the Matrix?,5,0.0
Neo,"Yes. No. I mean, I was.",6,0.128
Sati,Why did you leave?,4,-0.0516
Neo,I had to.,3,0.0
Sati,I had to leave my home too.,7,-0.0516
Rama-Kandra,"Sati! Come here, darling. Leave the poor man in peace.",10,0.6476
Sati,"Yes, papa.",2,0.4019
Rama-Kandra,"I’m sorry, she is still very curious.",7,0.3167
Neo,I know you.,3,0.0
Rama-Kandra,"Yes, in the restaurant at the Frenchman’s. I am Rama-Kandra. This is my wife Kamala, my daughter Sati. We are most honoured to meet you.",25,0.7346
Neo,You’re programs.,2,0.0
