Character_Name,Character_dialogue,num_palabras,sentimiento
Cypher, Yeah.,1,0.296
Trinity, Is everything in place?,4,0.0
Cypher, You weren't supposed to relieve me.,6,-0.2755
Trinity," I know, but I felt like taking your shift.",9,0.5023
Cypher," You like him, don't you? You like watching him.",9,0.6124
Trinity, Don't be ridiculous.,3,0.2755
Cypher," We're going to kill him, do you understand that?",9,-0.6908
Trinity, Morpheus believes he is The One.,6,0.0
Cypher, Do you?,2,0.0
Trinity, It doesn't matter what I believe.,6,-0.0191
Cypher," You don't, do you?",4,0.0
Trinity, Did you hear that?,4,0.0
Cypher, Hear what?,2,0.0
Trinity, Are you sure this line is clean?,7,0.6124
Cypher," Yeah, course I'm sure.",4,0.5423
Trinity, I better go.,3,0.4404
Cop," Freeze, Police. Hands on your head. Do it. Do it now.",11,0.0516
Agent Smith, Lieutenant,1,0.0
Lieutenant, Oh shit.,2,-0.5574
Agent Smith," Lieutenant, you were given specific orders.",6,0.0
Lieutenant," Hey, I'm just doing my job. You give me that juris-my-dick-tion crap, you can cram it up your ass.",19,-0.7269
Agent Smith, The orders were for your protection.,6,0.0
Lieutenant, I think we can handle one little girl. I sent two units. They're bringing her down now.,17,0.0
Agent Smith," No Lieutenant, your men are already dead.",7,-0.7579
Trinity," Morpheus, the line was traced, I don't know how.",9,0.0
Morpheus," I know, they cut the hard line. There's no time, you're going to have to get to another exit.",19,-0.5719
Trinity, Are there any agents?,4,0.0
Morpheus, Yes.,1,0.4019
Trinity, Goddammit.,1,0.0
Morpheus," You have to focus, Trinity. There's a phone at Wells and Lake. You can make it.",16,0.25
Trinity, All right.,2,0.0
Morpheus, Go.,1,0.0
Cop, That's impossible.,2,0.0
Trinity," Get up, Trinity. Just get up. Get up.",8,0.0
Agent Brown, She got out.,3,0.0
Agent Smith, It doesn't matter.,3,-0.0191
Agent Jones, The informant is real.,4,0.0
Agent Smith, Yes.,1,0.4019
Agent Jones, We have the name of their next target.,8,0.0
Agent Brown, The name is Neo.,4,0.0
Agent Smith, We'll need a search running.,5,0.0
Agent Jones, It's already begun.,3,0.0
Neo, What? What the hell? Follow the white rabbit? Who is it?,11,-0.7622
Choi, It's Choi.,2,0.0
